Training/Test,X,Y,Y_pred
Training,-0.5825270154051985,1,1.0
Training,-0.6103993181033217,0,0.0
Training,0.14215285474600636,1,1.0
Training,-0.5218637683563421,1,1.0
Training,-0.7054930567204483,0,0.0
Training,-0.29724579955381936,1,1.0
Training,-0.5858061098402718,0,0.0
Training,-0.4234909353041424,1,1.0
Training,2.311273823547011,1,1.0
Training,0.0339427383885865,1,1.0
Training,0.38152674850635915,1,1.0
Training,-0.7104116983730583,0,0.0
Training,-0.25625711911540267,0,0.0
Training,-0.07262783075129661,0,0.0
Training,-0.15788428606320293,0,0.0
Training,-0.01524367813751337,1,1.0
Training,-0.7628772093342314,1,1.0
Training,-0.5235033155738787,0,0.0
Training,-0.5972829403630285,1,1.0
Training,1.0865320520471238,1,1.0
Training,-0.5218637683563421,0,0.0
Training,-0.8251800036006246,1,1.0
Training,0.4782600343410216,0,0.0
Training,0.5749933201756848,0,0.0
Training,0.014268171778146625,1,1.0
Training,-0.32347855503440587,0,0.0
Training,0.2716770849314027,0,0.0
Training,1.4587092704279463,1,1.0
Training,-0.779272681509598,0,0.0
Training,-0.5185846739212688,1,1.0
Training,-0.444805049132119,1,1.0
Training,-0.43988640747950897,1,1.0
Training,-0.2513384774627928,1,1.0
Training,-0.7202489816782782,0,0.0
Training,-0.24969893024525608,1,1.0
Training,-0.5349801460966356,0,0.0
Training,-0.11361651118971312,0,0.0
Training,-0.6464693568891284,1,1.0
Training,0.024105455083366742,1,1.0
Training,0.14707149639861608,0,0.0
Training,0.27331663214893925,0,0.0
Training,-0.5398987877492455,1,1.0
Training,-0.6497484513242017,1,1.0
Training,-0.06770918909868673,1,1.0
Training,-0.48251463513546217,1,1.0
Training,-0.7300862649834983,1,1.0
Training,1.239009943278033,0,0.0
Training,-0.4890728240056088,1,1.0
Training,-0.444805049132119,0,0.0
Training,-0.13165153058261644,1,1.0
Training,-0.7104116983730583,1,1.0
Training,0.19953700735978944,1,1.0
Training,-0.2857689690310627,1,1.0
Training,3.472073253562968,0,0.0
Training,-0.4759564462653156,0,0.0
Training,3.2392575486727617,0,0.0
Training,-0.4349677658268989,0,0.0
Training,-0.24641983581018256,1,1.0
Training,-0.1923147776314728,1,1.0
Training,1.3095104736321097,1,1.0
Training,0.8127276667185009,0,0.0
Training,0.7373084947118146,0,0.0
Training,-0.37594406599557906,1,1.0
Training,-0.09394194457927306,0,0.0
Training,0.0864082493497597,0,0.0
Training,0.46842275103580183,1,1.0
Training,0.0027913412553899415,1,1.0
Training,-0.7563190204640848,0,0.0
Training,-0.7317258122010348,0,0.0
Training,-0.5382592405317087,1,1.0
Training,-0.20215206093669294,1,1.0
Training,-0.1972334192840827,0,0.0
Training,-0.07918601962144324,1,1.0
Training,0.8881468387251877,0,0.0
Training,0.18478108240195962,1,1.0
Training,-1.0383211418803908,1,1.0
Training,0.230688404492986,0,0.0
Training,-0.22674526919974286,1,1.0
Training,1.168509412923957,0,0.0
Training,-0.7858308703797448,0,0.0
Training,-0.24641983581018256,1,1.0
Training,-0.4759564462653156,1,1.0
Training,-0.3923395381709458,1,1.0
Training,-0.4874332767880721,1,1.0
Training,0.089687343784833,1,1.0
Training,0.13395511865832282,1,1.0
Training,-0.8055054369901847,1,1.0
Training,-0.40217682147616574,1,1.0
Training,-0.44808414356719234,1,1.0
Training,-0.6792603012398617,1,1.0
Training,-0.2628153079855493,0,0.0
Training,-0.08574420849158987,0,0.0
Training,-0.1660820221508865,1,1.0
Training,-0.5972829403630285,1,1.0
Training,0.20937429066500957,1,1.0
Training,0.19133927127210626,0,0.0
Training,-0.16444247493334957,1,1.0
Training,0.16838561022659287,0,0.0
Training,1.2980336431093535,1,1.0
Training,0.12247828813556615,1,1.0
Training,0.13887376031093288,0,0.0
Training,-0.14312836110537294,1,1.0
Training,0.17330425187920293,0,0.0
Training,1.3865691928563328,0,0.0
Training,0.7766576279326947,0,0.0
Training,0.6405752088771514,1,1.0
Training,-0.5972829403630285,1,1.0
Training,0.4175967872921654,1,1.0
Training,-0.5530151654895387,1,1.0
Training,0.05197775778148982,1,1.0
Training,-0.6251552430611518,0,0.0
Training,-0.7300862649834983,0,0.0
Training,0.10444326874266319,0,0.0
Training,-0.4579214268724123,0,0.0
Training,-0.30544353564150256,1,1.0
Training,-0.4054559159112391,1,1.0
Training,-0.09558149179680982,1,1.0
Training,-0.42021184086906904,1,1.0
Training,0.024105455083366742,0,0.0
Training,0.34873580415562566,1,1.0
Training,-0.07098828353375987,0,0.0
Training,0.4339922594675321,1,1.0
Training,-0.28740851624859926,1,1.0
Training,-0.7776331342920615,1,1.0
Training,-0.6464693568891284,1,1.0
Training,-0.9432274032632643,1,1.0
Training,-0.4431655019145821,1,1.0
Training,-0.3595485938202125,0,0.0
Training,-0.5382592405317087,1,1.0
Training,-0.054592811358393306,0,0.0
Training,-0.7776331342920615,1,1.0
Training,-0.7858308703797448,0,0.0
Training,-0.5726897320999785,0,0.0
Training,-0.3349553855571626,1,1.0
Training,-0.3775836132131158,0,0.0
Training,-0.05295326414085656,1,1.0
Training,-0.11197696397217638,0,0.0
Training,-0.20871024980683955,1,1.0
Training,-0.3923395381709458,0,0.0
Training,0.5766328673932214,1,1.0
Training,-0.9317505727405077,0,0.0
Training,-0.17591930545610626,0,0.0
Training,-0.23658255250496282,0,0.0
Training,-0.8055054369901847,0,0.0
Training,-0.13657017223522633,1,1.0
Training,-0.38906044373587234,0,0.0
Training,-0.2775712329433793,0,0.0
Training,0.906181858118091,1,1.0
Training,-0.9760183476139977,0,0.0
Training,-0.21526843867698636,1,1.0
Training,-0.7038535095029116,1,1.0
Training,-0.7759935870745248,0,0.0
Training,-0.3480717632974558,1,1.0
Training,0.30118893484706233,1,1.0
Training,-0.8481336646461379,0,0.0
Training,0.3241425958925757,0,0.0
Training,-0.09558149179680982,1,1.0
Training,-0.8071449842077213,1,1.0
Training,1.557082103480146,0,0.0
Training,-0.5858061098402718,0,0.0
Training,-0.4415259546970457,1,1.0
Training,-0.556294259924612,1,1.0
Training,-0.18903568319639952,1,1.0
Training,0.5848306034809052,1,1.0
Training,2.5539268117424365,1,1.0
Training,-0.808784531425258,0,0.0
Training,-0.4972705600932922,1,1.0
Training,1.4669070065156296,0,0.0
Training,-0.46939825739516894,0,0.0
Training,-0.09394194457927306,1,1.0
Training,-0.1857565887613262,1,1.0
Training,-0.09558149179680982,1,1.0
Training,-0.7481212843764016,0,0.0
Training,0.08804779656729644,1,1.0
Training,0.11264100483034638,0,0.0
Training,-0.6169575069734685,1,1.0
Training,-0.13165153058261644,0,0.0
Training,-0.2546175718978661,0,0.0
Training,5.062434054573531,0,0.0
Training,-0.15624473884566636,0,0.0
Training,-0.5612129015772219,1,1.0
Training,-0.935029667175581,1,1.0
Training,-0.1513260971930563,1,1.0
Training,0.6553311338349815,1,1.0
Training,0.08476870213222312,0,0.0
Training,2.5342522451319964,0,0.0
Training,-0.7104116983730583,1,1.0
Training,1.0275083522158042,0,0.0
Training,2.33094839015745,1,1.0
Training,-0.5694106376649053,0,0.0
Training,0.6176215478316384,0,0.0
Training,0.6471333977472984,1,1.0
Training,0.342177615285479,1,1.0
Training,-0.14640745554044643,1,1.0
Training,-0.5858061098402718,1,1.0
Training,-0.35790904660267575,0,0.0
Training,-0.4349677658268989,1,1.0
